CountyFIPS,NAICS,Employment
2198,55,32
2198,56,6
2198,61,0
2198,62,191
2198,71,0
2198,72,0
2198,81,2
2198,92,729
2220,11,88
2220,23,160
2220,31,574
2220,42,29
2220,44,456
2220,48,292
2220,51,43
2220,52,61
2220,53,39
2220,54,78
2220,55,28
2220,56,108
2220,61,321
2220,62,793
2220,71,46
2220,72,503
2220,81,116
2220,92,301
2230,22,0
2230,23,17
2230,31,84
2230,42,0
2230,44,186
2230,48,131
2230,51,0
2230,52,0
2230,53,0
2230,54,0
2230,56,0
2230,61,0
2230,62,13
2230,71,189
2230,72,164
2230,81,22
2230,92,7
2240,11,0
2240,21,0
2240,22,0
2240,23,65
2240,31,38
2240,42,0
2240,44,226
2240,48,120
2240,51,19
2240,52,15
2240,53,8
2240,54,159
2240,55,0
2240,56,0
2240,61,1234
2240,62,241
2240,71,4
2240,72,0
2240,81,17
2240,92,496
2261,11,139
2261,21,30
2261,22,97
2261,23,191
2261,31,706
2261,42,7
2261,44,397
2261,48,668
2261,51,116
2261,52,0
2261,53,0
2261,54,72
2261,55,76
2261,56,135
2261,61,29
2261,62,450
2261,71,131
2261,72,444
2261,81,219
2261,92,838
2275,11,30
2275,23,28
2275,31,48
2275,44,124
2275,48,46
2275,51,13
2275,52,16
2275,53,6
2275,54,0
2275,56,0
2275,61,0
2275,62,0
2275,71,4
2275,72,48
2275,81,27
2275,92,65
2282,11,0
2282,23,0
2282,44,33
2282,48,22
2282,51,0
2282,53,0
2282,54,1
2282,55,0
2282,56,0
2282,61,0
2282,62,50
2282,71,3
2282,72,0
2282,92,36
2290,11,0
2290,21,11
2290,22,0
2290,23,69
2290,31,0
2290,42,0
2290,44,126
2290,48,126
2290,51,15
2290,52,0
2290,54,0
2290,55,15
2290,56,0
2290,61,2838
2290,62,0
2290,71,21
2290,72,0
2290,81,111
2290,92,803
4001,11,21
4001,21,246
4001,22,875
4001,23,464
4001,31,99
4001,42,0
4001,44,1057
4001,48,296
4001,51,148
4001,52,74
4001,53,359
4001,54,0
4001,55,0
4001,56,165
4001,61,584
4001,62,2648
4001,71,65
4001,72,1095
4001,81,959
4001,92,6079
4003,11,997
4003,21,200
4003,22,384
4003,23,1874
4003,31,595
4003,42,424
4003,44,4729
4003,48,888
4003,51,498
4003,52,491
4003,53,283
4003,54,2548
4003,55,47
4003,56,1821
4003,61,756
4003,62,4533
4003,71,813
4003,72,3471
4003,81,578
4003,92,5573
4005,11,103
4005,21,46
4005,22,185
4005,23,2777
4005,31,3765
4005,42,965
4005,44,6820
4005,48,1325
4005,51,448
4005,52,647
4005,53,789
4005,54,1656
4005,55,198
4005,56,1668
4005,61,946
4005,62,8941
4005,71,3410
4005,72,14116
4005,81,1895
4005,92,3740
4007,11,25
4007,21,1595
4007,22,84
4007,23,622
4007,31,1210
4007,42,78
4007,44,1777
4007,48,292
4007,51,132
4007,52,198
4007,53,122
4007,54,192
4007,55,0
4007,56,0
4007,61,107
4007,62,1511
4007,71,237
4007,72,1760
4007,81,172
4007,92,2461
4009,11,0
4009,21,0
4009,22,39
