Zone,mesozone,totalemp
1400,79,254
1401,79,184
1402,79,935
1403,79,1073
1404,79,2024
1405,79,187
1406,79,93
1407,79,958
1408,79,937
1409,79,1250
1410,79,1004
1411,79,73
1412,79,375
1413,79,1393
1414,79,5154
1415,79,1814
1416,79,3164
1417,79,2041
1418,79,8281
1419,79,641
1420,79,5906
1421,79,2782
1422,79,4210
1423,79,1648
1424,79,5824
1425,79,2535
1426,82,146
1427,82,501
1428,82,2075
1429,82,2061
1430,82,4391
1431,82,5385
1432,82,1134
1433,82,322
1434,82,1195
1435,82,1238
1436,82,908
1437,82,668
1438,82,1089
1439,82,2002
1440,82,2173
1441,82,2964
1442,82,1632
1443,82,1069
1444,82,3768
1445,82,3591
1446,82,6541
1447,82,4495
1448,82,25725
1449,82,16787
1450,82,11203
1451,82,12018
1452,82,4566
1453,82,841
1454,82,7312
1455,82,713
1456,82,4325
1457,82,5783
1458,82,272
1459,82,1074
1460,82,1517
1461,82,1397
1462,85,951
1463,85,1686
1464,85,1399
1465,85,5817
1466,85,1986
1467,85,6765
1468,85,302
1469,85,3565
1470,85,1150
1471,85,957
1472,85,760
1473,85,2855
1474,85,571
1475,85,661
1476,85,1143
1477,85,718
1478,85,894
1479,85,885
1480,85,984
1481,85,804
1482,85,962
1483,85,727
1484,85,2375
1485,85,2151
1486,85,1569
1487,85,1919
1488,85,1209
1489,85,946
1490,85,3913
1491,85,3275
1492,85,441
1493,85,523
1494,85,727
1495,85,603
1496,85,2650
1497,85,443
1498,86,3385
1499,86,4941
1500,86,551
1501,86,3118
1502,86,0
1503,87,2040
1504,87,2460
1505,87,1682
1506,87,99
1507,87,1790
1508,87,338
1509,87,319
1510,87,2827
1511,87,884
1512,89,467
1513,89,3181
1514,89,426
1515,89,232
1516,89,2060
1517,89,771
1518,89,617
1519,89,1458
1520,89,3711
1521,92,539
1522,92,2739
1523,92,3533
1524,92,202
1525,92,4279
1526,92,3100
1527,92,11
1528,92,320
1529,92,2937
1530,96,1381
1531,96,1267
1532,96,353
1533,96,1455
1534,102,32
1535,102,88
1536,102,44
1537,102,1480
1538,108,926
1539,108,56
1540,108,1023
1541,108,11
1542,88,2523
1543,88,1897
1544,88,461
1545,88,1348
1546,88,650
1547,88,513
1548,88,3191
1549,88,10899
1550,88,6383
1551,88,181
1552,88,3997
1553,88,339
1554,88,375
1555,88,6229
1556,88,995
1557,90,1126
1558,90,1247
1559,90,293
1560,90,929
1561,90,1170
1562,90,3256
1563,90,2047
1564,90,2029
1565,90,579
1566,93,1862
1567,93,720
1568,93,6498
1569,93,787
1570,93,431
1571,93,282
1572,93,5451
1573,93,5103
1574,93,47
1575,93,56
1576,93,3039
1577,93,125
1578,93,2586
