Origin,Destination,Time
9,127,1.301
9,128,1.505
9,129,1.874
9,130,0.951
9,131,1.195
9,132,1.451
10,1,0.553
10,2,0.456
10,3,0.297
10,4,0.213
10,5,0.171
10,6,0.596
10,7,0.444
10,8,0.308
10,9,0.16
10,10,0.059
10,11,0.118
10,12,0.293
10,13,0.282
10,14,0.25
10,15,0.458
10,16,0.411
10,17,0.411
10,18,0.573
10,19,0.538
10,20,0.529
10,21,0.799
10,22,0.677
10,23,0.661
10,24,0.717
10,25,0.811
10,26,0.798
10,27,0.835
10,28,0.934
10,29,1.007
10,30,1.43
10,31,1.332
10,32,1.252
10,33,1.042
10,34,1.376
10,35,1.18
10,36,1.074
10,37,0.961
10,38,1.212
10,39,1.1
10,40,0.956
10,41,0.835
10,42,1.304
10,43,1.077
10,44,0.914
10,45,0.759
10,46,1.083
10,47,0.924
10,48,0.763
10,49,0.777
10,50,0.846
10,51,0.761
10,52,0.642
10,53,0.67
10,54,0.696
10,55,0.627
10,56,0.521
10,57,0.447
10,58,0.586
10,59,0.533
10,60,0.402
10,61,0.321
10,62,1.02
10,63,0.888
10,64,0.735
10,65,1.121
10,66,1.064
10,67,0.826
10,68,1.16
10,69,1.005
10,70,0.941
10,71,1.238
10,72,1.165
10,73,0.939
10,74,1.238
10,75,1.269
10,76,0.999
10,77,0.703
10,78,0.563
10,79,0.42
10,80,0.805
10,81,0.656
10,82,0.534
10,83,0.868
10,84,0.754
10,85,0.721
10,86,0.773
10,87,1.003
10,88,0.838
10,89,1.034
10,90,0.964
10,91,0.943
10,92,1.162
10,93,1.178
10,94,1.098
10,95,0.945
10,96,1.305
10,97,1.309
10,98,1.398
10,99,1.138
10,100,1.111
10,101,1.142
10,102,1.428
10,103,1.495
10,104,1.362
10,105,1.302
10,106,1.367
10,107,1.212
10,108,1.593
10,109,1.682
10,110,1.426
10,111,1.282
10,112,1.076
10,113,1.374
10,114,1.31
10,115,1.16
10,116,1.581
10,117,1.432
10,118,1.279
10,119,1.66
10,120,1.512
10,121,1.453
10,122,1.56
10,123,1.9
10,124,1.832
10,125,1.847
10,126,2.059
10,127,1.242
10,128,1.446
10,129,1.815
10,130,1.029
10,131,1.273
10,132,1.585
11,1,0.642
11,2,0.545
11,3,0.386
11,4,0.302
11,5,0.26
11,6,0.685
11,7,0.533
11,8,0.397
11,9,0.248
11,10,0.118
11,11,0.026
11,12,0.382
11,13,0.242
11,14,0.209
11,15,0.547
11,16,0.376
11,17,0.37
11,18,0.658
11,19,0.497
11,20,0.488
11,21,0.874
11,22,0.75
11,23,0.62
11,24,0.676
11,25,0.883
11,26,0.757
11,27,0.794
11,28,0.893
11,29,0.966
11,30,1.519
11,31,1.421
11,32,1.341
11,33,1.131
11,34,1.465
11,35,1.269
11,36,1.163
11,37,1.05
11,38,1.301
11,39,1.189
11,40,1.045
11,41,0.924
11,42,1.393
11,43,1.166
11,44,1.003
11,45,0.848
11,46,1.172
11,47,1.013
11,48,0.852
11,49,0.866
11,50,0.935
11,51,0.85
11,52,0.731
11,53,0.759
11,54,0.785
11,55,0.716
11,56,0.61
11,57,0.536
11,58,0.675
11,59,0.622
11,60,0.491
11,61,0.41
11,62,1.109
11,63,0.977
11,64,0.824
11,65,1.21
11,66,1.153
11,67,0.915
11,68,1.249
11,69,1.094
11,70,1.03
11,71,1.327
11,72,1.254
11,73,1.028
11,74,1.326
11,75,1.358
11,76,1.088
11,77,0.792
11,78,0.652
11,79,0.508
11,80,0.894
11,81,0.745
11,82,0.622
11,83,0.957
11,84,0.843
11,85,0.8
11,86,0.848
11,87,1.092
11,88,0.912
11,89,1.109
11,90,1.039
11,91,1.018
11,92,1.237
11,93,1.252
11,94,1.17
11,95,1.017
11,96,1.38
11,97,1.384
11,98,1.472
11,99,1.18
11,100,1.07
11,101,1.101
11,102,1.502
11,103,1.531
11,104,1.397
11,105,1.264
11,106,1.326
11,107,1.172
11,108,1.668
11,109,1.756
11,110,1.515
11,111,1.37
11,112,1.164
11,113,1.463
11,114,1.398
11,115,1.235
11,116,1.656
11,117,1.507
11,118,1.354
11,119,1.735
11,120,1.601
11,121,1.542
11,122,1.596
11,123,1.989
11,124,1.921
11,125,1.936
11,126,2.134
11,127,1.201
11,128,1.405
11,129,1.774
11,130,1.118
11,131,1.362
11,132,1.674
12,1,0.497
12,2,0.426
12,3,0.307
12,4,0.299
12,5,0.392
12,6,0.533
12,7,0.373
12,8,0.227
12,9,0.158
12,10,0.292
12,11,0.356
12,12,0.068
12,13,0.15
12,14,0.251
12,15,0.234
12,16,0.278
12,17,0.385
12,18,0.31
12,19,0.424
12,20,0.503
12,21,0.573
12,22,0.446
12,23,0.548
12,24,0.691
12,25,0.579
12,26,0.671
12,27,0.804
12,28,0.807
12,29,0.962
12,30,1.402
12,31,1.304
12,32,1.227
12,33,1.034
12,34,1.348
12,35,1.152
12,36,1.066
12,37,0.953
12,38,1.163
12,39,1.072
12,40,0.928
12,41,0.823
12,42,1.215
12,43,0.996
12,44,0.858
12,45,0.703
12,46,1.126
12,47,0.972
12,48,0.879
