Industry_NAICS6_CBP,FAFZONE,CBPZONE,employment,establishment,e1,e2,e3,e4,e5,e6,e7,e8
711320,349,69,18,6,6,0,0,0,0,0,0,0
711320,350,70,192,22,11,0,0,0,0,0,0,0
711320,361,71,70,18,8,0,0,0,0,0,0,0
711320,362,72,8,8,8,0,0,0,0,0,0,0
711320,363,73,3303,409,342,14,3,0,0,0,0,0
711320,364,74,43,9,6,0,0,0,0,0,0,0
711320,369,75,37,16,11,0,0,0,0,0,0,0
711320,371,76,703,61,44,0,0,0,0,0,0,0
711320,372,77,2045,29,19,0,0,0,0,0,0,0
711320,373,78,174,33,20,0,0,0,0,0,0,0
711320,379,79,57,33,28,0,0,0,0,0,0,0
711320,391,81,72,26,15,0,0,0,0,0,0,0
711320,392,82,161,47,37,0,0,0,0,0,0,0
711320,393,83,762,32,22,0,0,0,0,0,0,0
711320,394,84,6,5,4,0,0,0,0,0,0,0
711320,399,85,87,20,5,0,0,0,0,0,0,0
711320,401,86,233,17,7,3,0,0,0,0,0,0
711320,402,87,51,10,5,0,0,0,0,0,0,0
711320,409,88,7,4,3,0,0,0,0,0,0,0
711320,411,89,298,56,47,0,0,0,0,0,0,0
711320,419,90,97,21,13,0,0,0,0,0,0,0
711320,421,91,543,72,52,0,0,0,0,0,0,0
711320,422,92,260,37,24,0,0,0,0,0,0,0
711320,429,93,172,26,13,3,0,0,0,0,0,0
711320,440,94,63,14,9,0,0,0,0,0,0,0
711320,451,95,67,16,13,0,0,0,0,0,0,0
711320,452,96,12,10,9,0,0,0,0,0,0,0
711320,459,97,181,29,21,0,0,0,0,0,0,0
711320,460,98,61,13,7,0,0,0,0,0,0,0
711320,471,99,40,13,9,0,0,0,0,0,0,0
711320,472,100,437,71,49,0,0,0,0,0,0,0
711320,479,101,179,25,13,0,0,0,0,0,0,0
711320,481,102,316,59,39,4,0,0,0,0,0,0
711320,482,103,8,3,3,0,0,0,0,0,0,0
711320,483,104,11,3,0,0,0,0,0,0,0,0
711320,484,105,2040,128,97,3,0,0,0,0,0,0
