Country,Commodity_NAICS6,FAFZONE,ctrycod,CBPZONE,USImpVal
ANTIGUA AND BARBUDA,336390,803,7,130,37650
ANTIGUA AND BARBUDA,336412,803,7,130,59882
ANTIGUA AND BARBUDA,339910,803,7,130,143208
ANTIGUA AND BARBUDA,339991,803,7,130,400
ARGENTINA,111110,803,8,131,125826845
ARGENTINA,111120,803,8,131,49353502
ARGENTINA,111130,803,8,131,9115106
ARGENTINA,111140,803,8,131,1997045
ARGENTINA,111150,803,8,131,65011510
ARGENTINA,111199,803,8,131,36868592
ARGENTINA,111211,803,8,131,29260
ARGENTINA,111219,803,8,131,45637506
ARGENTINA,111320,803,8,131,49466888
ARGENTINA,111331,803,8,131,3008800
ARGENTINA,111334,803,8,131,4766934
ARGENTINA,111335,803,8,131,875218
ARGENTINA,111339,803,8,131,68497032
ARGENTINA,111411,803,8,131,37414
ARGENTINA,111421,803,8,131,510057
ARGENTINA,111422,803,8,131,40125
ARGENTINA,111910,803,8,131,11340802
ARGENTINA,111998,803,8,131,1429839
ARGENTINA,112512,803,8,131,22129937
ARGENTINA,112910,803,8,131,153485954
ARGENTINA,112920,803,8,131,8744295
ARGENTINA,112930,803,8,131,891439
ARGENTINA,112990,803,8,131,355384
ARGENTINA,113210,803,8,131,6070766
ARGENTINA,114111,803,8,131,106715753
ARGENTINA,114112,803,8,131,295873092
ARGENTINA,114119,803,8,131,48995
ARGENTINA,211120,803,8,131,1219277782.78072
ARGENTINA,211130,803,8,131,254103948.745896
ARGENTINA,212321,803,8,131,2636
ARGENTINA,212325,803,8,131,221236
ARGENTINA,212391,803,8,131,879277
ARGENTINA,212393,803,8,131,15087566
ARGENTINA,212399,803,8,131,2899162
ARGENTINA,311111,803,8,131,3655727
ARGENTINA,311119,803,8,131,4244776
ARGENTINA,311211,803,8,131,10267511
ARGENTINA,311212,803,8,131,17745004
ARGENTINA,311213,803,8,131,26848
ARGENTINA,311221,803,8,131,904654
ARGENTINA,311224,803,8,131,160638225
ARGENTINA,311225,803,8,131,1472273
ARGENTINA,311230,803,8,131,101394
ARGENTINA,311313,803,8,131,0
ARGENTINA,311314,803,8,131,38548466
ARGENTINA,311340,803,8,131,16015421
ARGENTINA,311351,803,8,131,26424.5764668586
ARGENTINA,311352,803,8,131,174954.423533141
ARGENTINA,311411,803,8,131,89513527
ARGENTINA,311412,803,8,131,102413
ARGENTINA,311421,803,8,131,103325480
ARGENTINA,311423,803,8,131,23978787
ARGENTINA,311512,803,8,131,732283
ARGENTINA,311513,803,8,131,6392806
ARGENTINA,311514,803,8,131,48024471
ARGENTINA,311520,803,8,131,2356855
ARGENTINA,311611,803,8,131,159227086
ARGENTINA,311613,803,8,131,32021683
ARGENTINA,311710,803,8,131,35339282
ARGENTINA,311811,803,8,131,2742197.17804365
ARGENTINA,311812,803,8,131,2580180.44502449
ARGENTINA,311813,803,8,131,146882.376931861
ARGENTINA,311824,803,8,131,1293745
ARGENTINA,311911,803,8,131,18703752
ARGENTINA,311920,803,8,131,62510226
ARGENTINA,311930,803,8,131,7750
ARGENTINA,311941,803,8,131,36653
ARGENTINA,311942,803,8,131,350255
ARGENTINA,311991,803,8,131,3396
ARGENTINA,311999,803,8,131,6269815
ARGENTINA,312111,803,8,131,87712
ARGENTINA,312112,803,8,131,26145
ARGENTINA,312120,803,8,131,243868
ARGENTINA,312130,803,8,131,280810792
ARGENTINA,312140,803,8,131,2038905
ARGENTINA,313110,803,8,131,1108714
ARGENTINA,313210,803,8,131,119370
ARGENTINA,313220,803,8,131,703978
ARGENTINA,313230,803,8,131,251622
ARGENTINA,313240,803,8,131,734867
ARGENTINA,314110,803,8,131,280578
ARGENTINA,314120,803,8,131,286342
ARGENTINA,314910,803,8,131,470019
ARGENTINA,314994,803,8,131,35949
ARGENTINA,314999,803,8,131,162096
ARGENTINA,315110,803,8,131,7983
ARGENTINA,315190,803,8,131,3341
ARGENTINA,315220,803,8,131,251108
ARGENTINA,315240,803,8,131,423267
ARGENTINA,315280,803,8,131,4276115
ARGENTINA,315990,803,8,131,505423
ARGENTINA,316110,803,8,131,18833714.9811662
ARGENTINA,316210,803,8,131,592867.999407131
ARGENTINA,316992,803,8,131,392056.999607943
ARGENTINA,316998,803,8,131,3466834.99653316
ARGENTINA,321113,803,8,131,28804465
ARGENTINA,321212,803,8,131,75603
ARGENTINA,321213,803,8,131,4045603
ARGENTINA,321219,803,8,131,26187834
ARGENTINA,321911,803,8,131,296452
ARGENTINA,321918,803,8,131,76817428
ARGENTINA,321920,803,8,131,38879.99996112
ARGENTINA,321999,803,8,131,6034371.99396562
ARGENTINA,322121,803,8,131,6610867
ARGENTINA,322130,803,8,131,35716
ARGENTINA,322211,803,8,131,45616
ARGENTINA,322212,803,8,131,3355
ARGENTINA,322220,803,8,131,2320045
ARGENTINA,322230,803,8,131,560920
ARGENTINA,322291,803,8,131,135916
ARGENTINA,322299,803,8,131,3378661
ARGENTINA,323111,803,8,131,594037
ARGENTINA,323117,803,8,131,472906
ARGENTINA,323120,803,8,131,14753
ARGENTINA,324110,803,8,131,1224777440.77522
ARGENTINA,324191,803,8,131,448320
ARGENTINA,324199,803,8,131,16745
ARGENTINA,325120,803,8,131,159700
ARGENTINA,325130,803,8,131,19884
ARGENTINA,325180,803,8,131,65654842
ARGENTINA,325193,803,8,131,93822
ARGENTINA,325194,803,8,131,39974742
ARGENTINA,325199,803,8,131,107791388
ARGENTINA,325211,803,8,131,17839479
ARGENTINA,325212,803,8,131,3132293
ARGENTINA,325220,803,8,131,158711
ARGENTINA,325311,803,8,131,87355
ARGENTINA,325320,803,8,131,56926
ARGENTINA,325411,803,8,131,295568283
ARGENTINA,325412,803,8,131,2161396
ARGENTINA,325413,803,8,131,3534922
