Origin,Destination,Time
9,90,0.858
9,91,0.835
9,92,1.059
9,93,0.984
9,94,1.006
9,95,0.876
9,96,1.241
9,97,1.116
9,98,1.206
9,99,1.048
9,100,1.101
9,101,1.17
9,102,1.317
9,103,1.384
9,104,1.27
9,105,1.225
9,106,1.371
9,107,1.298
9,108,1.486
9,109,1.488
9,110,1.247
9,111,1.15
9,112,0.969
9,113,1.281
9,114,1.182
9,115,1.053
9,116,1.463
9,117,1.314
9,118,1.172
9,119,1.554
9,120,1.375
9,121,1.328
9,122,1.467
9,123,1.763
9,124,1.696
9,125,1.721
9,126,1.821
9,127,1.3
9,128,1.56
9,129,1.876
9,130,0.95
9,131,1.194
9,132,1.448
10,1,0.553
10,2,0.445
10,3,0.315
10,4,0.213
10,5,0.168
10,6,0.572
10,7,0.454
10,8,0.309
10,9,0.16
10,10,0.059
10,11,0.118
10,12,0.293
10,13,0.282
10,14,0.25
10,15,0.457
10,16,0.411
10,17,0.399
10,18,0.575
10,19,0.526
10,20,0.526
10,21,0.799
10,22,0.677
10,23,0.661
10,24,0.708
10,25,0.81
10,26,0.797
10,27,0.843
10,28,0.933
10,29,1.005
10,30,1.436
10,31,1.331
10,32,1.252
10,33,1.042
10,34,1.373
10,35,1.146
10,36,1.074
10,37,0.944
10,38,1.211
10,39,1.099
10,40,0.955
10,41,0.839
10,42,1.142
10,43,1.077
10,44,0.914
10,45,0.76
10,46,1.001
10,47,0.894
10,48,0.763
10,49,0.781
10,50,0.837
10,51,0.761
10,52,0.644
10,53,0.67
10,54,0.696
10,55,0.588
10,56,0.522
10,57,0.466
10,58,0.594
10,59,0.51
10,60,0.402
10,61,0.31
10,62,1.022
10,63,0.889
10,64,0.734
10,65,1.123
10,66,1.066
10,67,0.825
10,68,1.153
10,69,1.005
10,70,0.941
10,71,1.238
10,72,1.165
10,73,0.939
10,74,1.237
10,75,1.231
10,76,0.999
10,77,0.703
10,78,0.56
10,79,0.403
10,80,0.805
10,81,0.656
10,82,0.534
10,83,0.866
10,84,0.738
10,85,0.72
10,86,0.772
10,87,1.004
10,88,0.837
10,89,1.033
10,90,0.963
10,91,0.943
10,92,1.164
10,93,1.09
10,94,1.097
10,95,0.967
10,96,1.346
10,97,1.221
10,98,1.311
10,99,1.139
10,100,1.109
10,101,1.102
10,102,1.422
10,103,1.489
10,104,1.361
10,105,1.303
10,106,1.369
10,107,1.229
10,108,1.592
10,109,1.594
10,110,1.372
10,111,1.276
10,112,1.094
10,113,1.406
10,114,1.308
10,115,1.158
10,116,1.58
10,117,1.431
10,118,1.278
10,119,1.659
10,120,1.512
10,121,1.453
10,122,1.559
10,123,1.9
10,124,1.833
10,125,1.846
10,126,1.947
10,127,1.239
10,128,1.499
10,129,1.814
10,130,1.029
10,131,1.273
10,132,1.584
11,1,0.642
11,2,0.534
11,3,0.404
11,4,0.302
11,5,0.257
11,6,0.661
11,7,0.543
11,8,0.398
11,9,0.248
11,10,0.118
11,11,0.026
11,12,0.382
11,13,0.242
11,14,0.209
11,15,0.546
11,16,0.376
11,17,0.358
11,18,0.657
11,19,0.485
11,20,0.485
11,21,0.873
11,22,0.749
11,23,0.62
11,24,0.667
11,25,0.882
11,26,0.756
11,27,0.802
11,28,0.892
11,29,0.964
11,30,1.524
11,31,1.42
11,32,1.34
11,33,1.13
11,34,1.462
11,35,1.235
11,36,1.163
11,37,1.032
11,38,1.3
11,39,1.188
11,40,1.044
11,41,0.928
11,42,1.231
11,43,1.166
11,44,1.003
11,45,0.848
11,46,1.09
11,47,0.982
11,48,0.852
11,49,0.87
11,50,0.926
11,51,0.85
11,52,0.733
11,53,0.759
11,54,0.785
11,55,0.676
11,56,0.611
11,57,0.555
11,58,0.683
11,59,0.599
11,60,0.491
11,61,0.399
11,62,1.11
11,63,0.978
11,64,0.822
11,65,1.212
11,66,1.155
11,67,0.914
11,68,1.242
11,69,1.094
11,70,1.03
11,71,1.327
11,72,1.254
11,73,1.028
11,74,1.326
11,75,1.32
11,76,1.088
11,77,0.792
11,78,0.649
11,79,0.492
11,80,0.894
11,81,0.745
11,82,0.622
11,83,0.955
11,84,0.827
11,85,0.799
11,86,0.847
11,87,1.092
11,88,0.911
11,89,1.107
11,90,1.037
11,91,1.017
11,92,1.239
11,93,1.164
11,94,1.17
11,95,1.04
11,96,1.42
11,97,1.296
11,98,1.386
11,99,1.135
11,100,1.068
11,101,1.061
11,102,1.497
11,103,1.53
11,104,1.396
11,105,1.262
11,106,1.328
11,107,1.188
11,108,1.666
11,109,1.668
11,110,1.461
11,111,1.365
11,112,1.183
11,113,1.495
11,114,1.396
11,115,1.232
11,116,1.654
11,117,1.505
11,118,1.352
11,119,1.734
11,120,1.601
11,121,1.542
11,122,1.594
11,123,1.989
11,124,1.922
11,125,1.935
11,126,2.036
11,127,1.198
11,128,1.458
11,129,1.773
11,130,1.118
11,131,1.362
11,132,1.673
12,1,0.498
12,2,0.426
12,3,0.304
12,4,0.299
12,5,0.392
12,6,0.509
12,7,0.354
12,8,0.228
12,9,0.159
12,10,0.293
12,11,0.356
12,12,0.068
12,13,0.15
12,14,0.25
12,15,0.234
12,16,0.278
12,17,0.382
12,18,0.31
12,19,0.413
12,20,0.503
12,21,0.573
12,22,0.446
12,23,0.547
12,24,0.685
12,25,0.579
12,26,0.671
12,27,0.812
12,28,0.806
12,29,0.962
12,30,1.409
12,31,1.305
12,32,1.228
12,33,1.03
12,34,1.347
12,35,1.12
12,36,1.063
12,37,0.932
12,38,1.164
12,39,1.072
12,40,0.929
12,41,0.827
12,42,1.063
12,43,0.997
12,44,0.859
12,45,0.704
12,46,1.042
12,47,0.94
12,48,0.879
12,49,0.926
12,50,0.826
12,51,0.796
12,52,0.727
12,53,0.815
12,54,0.685
12,55,0.623
12,56,0.557
12,57,0.592
12,58,0.583
12,59,0.499
12,60,0.437
12,61,0.487
12,62,0.899
12,63,0.809
12,64,0.654
12,65,0.979
12,66,0.922
12,67,0.657
12,68,0.924
12,69,0.776
12,70,0.712
12,71,1.008
12,72,0.936
12,73,0.692
12,74,0.994
12,75,0.988
12,76,0.756
12,77,0.509
12,78,0.358
12,79,0.146
12,80,0.557
12,81,0.409
12,82,0.277
12,83,0.623
12,84,0.495
12,85,0.477
12,86,0.546
12,87,0.76
12,88,0.611
12,89,0.807
12,90,0.737
12,91,0.717
12,92,0.938
12,93,0.864
12,94,0.866
12,95,0.736
12,96,1.12
12,97,0.995
12,98,1.085
12,99,0.908
12,100,0.983
12,101,1.057
12,102,1.196
12,103,1.263
12,104,1.13
12,105,1.085
12,106,1.253
12,107,1.184
12,108,1.366
12,109,1.368
12,110,1.129
12,111,1.033
12,112,0.851
12,113,1.163
12,114,1.064
12,115,0.932
12,116,1.346
12,117,1.197
12,118,1.052
12,119,1.433
12,120,1.432
12,121,1.224
12,122,1.328
12,123,1.82
12,124,1.651
12,125,1.603
12,126,1.704
12,127,1.215
12,128,1.475
12,129,1.79
12,130,1.076
12,131,1.32
12,132,1.573
13,1,0.616
13,2,0.532
13,3,0.403
13,4,0.308
13,5,0.289
13,6,0.632
13,7,0.491
13,8,0.352
13,9,0.247
13,10,0.181
13,11,0.208
13,12,0.15
13,13,0.067
13,14,0.102
13,15,0.313
13,16,0.135
13,17,0.234
13,18,0.416
13,19,0.27
13,20,0.354
13,21,0.633
13,22,0.511
13,23,0.404
13,24,0.536
13,25,0.644
13,26,0.541
13,27,0.673
13,28,0.676
13,29,0.832
13,30,1.523
13,31,1.419
13,32,1.339
13,33,1.129
13,34,1.461
13,35,1.234
13,36,1.162
13,37,1.031
13,38,1.282
13,39,1.187
13,40,1.043
13,41,0.927
13,42,1.181
13,43,1.115
13,44,0.977
13,45,0.822
13,46,1.095
13,47,0.992
13,48,0.884
13,49,0.902
13,50,0.925
13,51,0.848
13,52,0.765
13,53,0.791
13,54,0.783
13,55,0.675
13,56,0.61
13,57,0.582
13,58,0.682
13,59,0.597
13,60,0.489
13,61,0.431
13,62,1.036
13,63,0.927
13,64,0.772
13,65,1.116
13,66,1.059
13,67,0.794
13,68,1.028
13,69,0.88
13,70,0.815
13,71,1.112
13,72,1.039
13,73,0.814
13,74,1.119
13,75,1.113
13,76,0.881
13,77,0.646
13,78,0.494
13,79,0.283
13,80,0.679
13,81,0.531
13,82,0.402
13,83,0.748
13,84,0.62
13,85,0.559
13,86,0.606
13,87,0.856
13,88,0.67
13,89,0.867
13,90,0.797
13,91,0.776
13,92,0.998
13,93,0.924
13,94,0.931
13,95,0.801
13,96,1.18
13,97,1.055
13,98,1.145
13,99,0.919
13,100,0.852
13,101,0.927
13,102,1.256
13,103,1.314
13,104,1.18
13,105,1.046
13,106,1.122
13,107,1.054
13,108,1.425
13,109,1.428
13,110,1.254
13,111,1.158
13,112,0.976
13,113,1.285
13,114,1.187
13,115,0.992
13,116,1.414
13,117,1.264
13,118,1.111
13,119,1.493
13,120,1.55
13,121,1.328
13,122,1.378
13,123,1.938
13,124,1.754
13,125,1.728
13,126,1.826
13,127,1.067
13,128,1.327
13,129,1.642
13,130,1.128
13,131,1.372
13,132,1.672
14,1,0.716
14,2,0.628
14,3,0.499
14,4,0.404
14,5,0.388
14,6,0.729
14,7,0.592
14,8,0.448
14,9,0.343
14,10,0.25
14,11,0.209
14,12,0.25
14,13,0.102
14,14,0.043
14,15,0.414
14,16,0.236
14,17,0.218
14,18,0.517
14,19,0.346
14,20,0.346
14,21,0.734
14,22,0.609
14,23,0.48
14,24,0.528
14,25,0.743
14,26,0.617
14,27,0.662
